# Plate File Name: G:\2020-07-11 AUTOMATED EXTRACTION PLATE 2.eds
# Description: 
# User Name: JMR
# Last Modified Date/Time: 1969-12-31 07:00:00 PM EST
# Date Created: 2020-07-11 02:44:37 PM EDT
# Barcode: H3K006LC
# Instrument Type: QuantStudio™ 7 System
# Block Type: 384-Well Block
# Instrument Name: 278872955
# Instrument Serial Number: 278872955
# Heated Cover Serial Number: null
# Block Serial Number: null
# Plate Run Start Date/Time: 2020-07-11 03:52:04 PM EDT
# Plate Run End Date/Time: 2020-07-11 05:25:46 PM EDT
# Run Duration: 93 minutes 41 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# PCR Stage / Cycle where Analysis is performed: Stage 2 Step 2
# Pre-read Stage/Step: 
# Post-read Stage/Step: 
# Passive Reference: null
# Quantification Cycle Method: CT

"[Target Call]"
"Well Position","Target","Cq"
"J1","N1","Undetermined"
"J1","N2","Undetermined"
"J1","RP","Undetermined"
"J2","N1","Undetermined"
"J2","N2","Undetermined"
"J2","RP","Undetermined"
"J3","N1","Undetermined"
"J3","N2","Undetermined"
"J3","RP","Undetermined"
"J4","N1","Undetermined"
"J4","N2","Undetermined"
"J4","RP","Undetermined"
"J5","N1","Undetermined"
"J5","N2","Undetermined"
"J5","RP","Undetermined"
"J6","N1","Undetermined"
"J6","N2","Undetermined"
"J6","RP","Undetermined"
"J7","N1","Undetermined"
"J7","N2","Undetermined"
"J7","RP","Undetermined"
"J8","N1","Undetermined"
"J8","N2","Undetermined"
"J8","RP","Undetermined"
"J9","N1","Undetermined"
"J9","N2","Undetermined"
"J9","RP","Undetermined"
"J10","N1","Undetermined"
"J10","N2","Undetermined"
"J10","RP","Undetermined"
"J11","N1","Undetermined"
"J11","N2","Undetermined"
"J11","RP","Undetermined"
"J12","N1","Undetermined"
"J12","N2","Undetermined"
"J12","RP","Undetermined"
"J13","N1","Undetermined"
"J13","N2","Undetermined"
"J13","RP","Undetermined"
"J14","N1","Undetermined"
"J14","N2","Undetermined"
"J14","RP","Undetermined"
"J15","N1","Undetermined"
"J15","N2","Undetermined"
"J15","RP","Undetermined"
"J16","N1","Undetermined"
"J16","N2","Undetermined"
"J16","RP","Undetermined"
"J17","N1","Undetermined"
"J17","N2","Undetermined"
"J17","RP","Undetermined"
"J18","N1","Undetermined"
"J18","N2","Undetermined"
"J18","RP","Undetermined"
"J19","N1","Undetermined"
"J19","N2","Undetermined"
"J19","RP","Undetermined"
"J20","N1","Undetermined"
"J20","N2","Undetermined"
"J20","RP","Undetermined"
"J21","N1","Undetermined"
"J21","N2","Undetermined"
"J21","RP","Undetermined"
"J22","N1","Undetermined"
"J22","N2","Undetermined"
"J22","RP","Undetermined"
"J23","N1","Undetermined"
"J23","N2","Undetermined"
"J23","RP","Undetermined"
"J24","N1","Undetermined"
"J24","N2","Undetermined"
"J24","RP","Undetermined"
"K1","N1","37.481658800679284"
"K1","N2","34.871493356643896"
"K1","RP","33.2674123699542"
"K2","N1","Undetermined"
"K2","N2","Undetermined"
"K2","RP","Undetermined"
"K3","N1","Undetermined"
"K3","N2","Undetermined"
"K3","RP","Undetermined"
"K4","N1","Undetermined"
"K4","N2","Undetermined"
"K4","RP","Undetermined"
"K5","N1","Undetermined"
"K5","N2","Undetermined"
"K5","RP","Undetermined"
"K6","N1","Undetermined"
"K6","N2","Undetermined"
"K6","RP","Undetermined"
"K7","N1","Undetermined"
"K7","N2","Undetermined"
"K7","RP","Undetermined"
"K8","N1","Undetermined"
"K8","N2","Undetermined"
"K8","RP","Undetermined"
"K9","N1","Undetermined"
"K9","N2","Undetermined"
"K9","RP","Undetermined"
"K10","N1","Undetermined"
"K10","N2","Undetermined"
"K10","RP","Undetermined"
"K11","N1","Undetermined"
"K11","N2","Undetermined"
"K11","RP","Undetermined"
"K12","N1","Undetermined"
"K12","N2","Undetermined"
"K12","RP","Undetermined"
"K13","N1","Undetermined"
"K13","N2","Undetermined"
"K13","RP","Undetermined"
"K14","N1","Undetermined"
"K14","N2","Undetermined"
"K14","RP","Undetermined"
"K15","N1","Undetermined"
"K15","N2","Undetermined"
"K15","RP","Undetermined"
"K16","N1","Undetermined"
"K16","N2","Undetermined"
"K16","RP","Undetermined"
"K17","N1","Undetermined"
"K17","N2","Undetermined"
"K17","RP","Undetermined"
"K18","N1","Undetermined"
"K18","N2","Undetermined"
"K18","RP","Undetermined"
"K19","N1","Undetermined"
"K19","N2","Undetermined"
"K19","RP","Undetermined"
"K20","N1","Undetermined"
"K20","N2","Undetermined"
"K20","RP","Undetermined"
"K21","N1","Undetermined"
"K21","N2","Undetermined"
"K21","RP","Undetermined"
"K22","N1","Undetermined"
"K22","N2","Undetermined"
"K22","RP","Undetermined"
"K23","N1","Undetermined"
"K23","N2","Undetermined"
"K23","RP","Undetermined"
"K24","N1","Undetermined"
"K24","N2","Undetermined"
"K24","RP","Undetermined"
"L1","N1","Undetermined"
"L1","N2","Undetermined"
"L1","RP","Undetermined"
"L2","N1","Undetermined"
"L2","N2","Undetermined"
"L2","RP","Undetermined"
"L3","N1","Undetermined"
"L3","N2","Undetermined"
"L3","RP","Undetermined"
"L4","N1","Undetermined"
"L4","N2","Undetermined"
"L4","RP","Undetermined"
"L5","N1","Undetermined"
"L5","N2","Undetermined"
"L5","RP","Undetermined"
"L6","N1","Undetermined"
"L6","N2","Undetermined"
"L6","RP","Undetermined"
"L7","N1","Undetermined"
"L7","N2","Undetermined"
"L7","RP","Undetermined"
"L8","N1","Undetermined"
"L8","N2","Undetermined"
"L8","RP","Undetermined"
"L9","N1","Undetermined"
